1. I like to work on cars | R
2. I like to do puzzles | I
3. I am good at working independently | A
4. I like to work in teams | C
5. I am an ambitious person, I set goals for myself | E
6. I like to organize things, (files, desks/offices) | S
7. I like to build things | R
8. I like to read about art and music | A
9. I like to have clear instructions to follow | S
10. I like to try to influence or persuade people | E
11. I like to do experiments | I
12. I like to teach or train people | S
13. I like trying to help people solve their problems | S
14. I like to take care of animals | R
15. I wouldn’t mind working 8 hours per day in an office | C
16. I like selling things | E
17. I enjoy creative writing | A
18. I enjoy science | I
19. I am quick to take on new responsibilities | E
20. I am interested in healing people | S
21. I enjoy trying to figure out how things work | I
22. I like putting things together or assembling things | R
23. I am a creative person | A
24. I pay attention to details | C
25. I like to do filing or typing | C
26. I like to analyze things (problems/situations) | I
27. I like to play instruments or sing | A
28. I enjoy learning about other cultures | C
29. I would like to start my own business | E
30. I like to cook | R
31. I like acting in plays | A
32. I am a practical person | R
33. I like working with numbers or charts | I
34. I like to get into discussions about issues | S
35. I am good at keeping records of my work | C
36. I like to lead | E
37. I like working outdoors | R
38. I would like to work in an office | C
39. I’m good at math | I
40. I like helping people | S
41. I like to draw | A
42. I like to give speeches | E
